Airline,Time,Amount,Type,Source
American,20181,10401000000,Revenue,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/revenue
American,20174,10610000000,Revenue,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/revenue
American,20173,10965000000,Revenue,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/revenue
American,20172,11227000000,Revenue,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/revenue
American,20171,9820000000,Revenue,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/revenue
American,20223,3315000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20222,3409000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20221,540000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20214,1343000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20213,1512000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20212,869000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20211,-1678000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20204,-1286000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20203,-1875000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20202,-2823000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20201,798000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20194,3770000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20193,3295000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20192,3435000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20191,2614000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20184,1017000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20183,3015000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20182,3341000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20181,2678000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20174,3005000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20173,3449000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20172,3819000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20171,2759000000,GrossProfit,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/gross-profit
American,20223,483000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20222,476000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20221,-1635000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20214,-931000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20213,169000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20212,19000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20211,-1250000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20204,-2178000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20203,-2399000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20202,-2067000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20201,-2241000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20194,414000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20193,425000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20192,662000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20191,185000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20184,325000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20183,372000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20182,556000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20181,159000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20174,-583000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20173,661000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20172,864000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
American,20171,340000000,NetIncome,https://www.macrotrends.net/stocks/charts/AAL/american-airlines-group/net-income
United,20223,12877000000,Revenue,https://www.macrotrends.net/stocks/charts/UAL/united-airlines-holdings-inc/revenue
