year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,7,DL,Delta Air Lines Inc.,LAS,"Las Vegas, NV: McCarran International",1223,229,105.34,5.92,67.47,0,50.26,13,5,14241,8223,480,3220,0,2318
2022,7,DL,Delta Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2934,488,221.01,12.42,110.91,0,143.65,26,1,38128,20967,842,3984,0,12335
2022,7,DL,Delta Air Lines Inc.,LGA,"New York, NY: LaGuardia",2139,465,134.55,19.91,176.95,1,132.59,55,26,39047,15432,1407,10645,26,11537
2022,7,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1639,438,188.29,18.06,137.73,0.94,92.99,20,4,28585,15252,1417,5724,104,6088
2022,7,DL,Delta Air Lines Inc.,MDW,"Chicago, IL: Chicago Midway International",88,27,14.97,0,9.84,0,2.19,5,0,1314,928,0,298,0,88
2022,7,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",686,158,68.98,8.13,43.02,0,37.87,15,3,9117,4254,735,1632,0,2496
2022,7,DL,Delta Air Lines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",5115,724,301.21,29.4,159.99,1.99,231.41,29,4,56603,33054,1987,6159,138,15265
2022,7,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",856,195,87.91,5.28,52.82,1,47.99,8,4,15926,7762,590,3206,19,4349
2022,7,DL,Delta Air Lines Inc.,PHL,"Philadelphia, PA: Philadelphia International",403,71,40.94,2.48,11.56,0,16.02,3,0,3653,2007,215,445,0,986
2022,7,DL,Delta Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",722,129,63.59,3.73,32.79,0,28.89,5,5,6516,3179,156,1388,0,1793
2022,7,DL,Delta Air Lines Inc.,SAN,"San Diego, CA: San Diego International",773,111,66.36,2.82,15.69,0,26.13,9,3,9621,7367,139,542,0,1573
2022,7,DL,Delta Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",2727,393,195.7,10.45,71.35,0,115.51,34,3,35042,21618,790,2588,0,10046
2022,7,DL,Delta Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",937,141,71.77,8.15,23.85,0,37.23,13,1,8034,4311,350,771,0,2602
2022,7,DL,Delta Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",4306,569,222.88,17.97,86.96,0.62,240.57,35,5,46056,21854,1226,3378,24,19574
2022,7,DL,Delta Air Lines Inc.,TPA,"Tampa, FL: Tampa International",1023,228,109.07,7.42,61.71,0,49.81,15,5,13814,7701,517,2397,0,3199
2022,6,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",17780,2878,1076,108.55,554.49,0.98,1137.99,569,39,228942,111079,9859,29330,116,78558
2022,6,DL,Delta Air Lines Inc.,BNA,"Nashville, TN: Nashville International",644,113,63.27,7.88,16.08,0,25.78,28,0,5897,3361,345,613,0,1578
2022,6,DL,Delta Air Lines Inc.,BOS,"Boston, MA: Logan International",1961,534,207.19,23.96,155.45,0.47,146.93,78,5,39395,17277,1115,9223,31,11749
2022,6,DL,Delta Air Lines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",443,76,51.24,2.36,14.71,0,7.69,36,0,4022,2805,135,808,0,274
