Year,Month,yyyymm,Sum of arr_flights,Sum of arr_del15,Sum of carrier_ct,Sum of weather_ct,Sum of nas_ct,Sum of security_ct,Sum of late_aircraft_ct,Sum of arr_cancelled,Sum of arr_delay,Sum of carrier_delay,Sum of weather_delay,Sum of nas_delay,Sum of security_delay,Sum of late_aircraft_delay,Price Date,Open Stock Price
2020,3,202003,53803,4221,1060.56,53.06,1761.22,0,1346.14,12355,46,256291,73522,5441,75371,0,4/1/20,29.51
2020,4,202004,17820,324,195.12,12.86,72.11,0,43.92,8862,3,26940,20401,935,2275,0,5/1/20,28.1
2020,5,202005,7166,292,162.56,16.64,76.25,0,36.53,151,14,21253,12328,2244,2530,0,6/1/20,28.190001
2020,6,202006,7290,456,196.97,70.88,145.48,0,42.69,5,7,30518,13098,5989,6756,0,7/1/20,36.919998
2020,7,202007,14973,1019,392.66,127.16,335.04,0,164.16,59,41,62353,24954,6770,15305,0,8/1/20,31.33
2020,8,202008,21628,1421,484.1,148.04,543.26,1,244.64,288,47,88426,36849,9784,20625,72,9/1/20,35.25
2020,9,202009,17253,927,411.5,87.43,278.4,0.07,149.59,53,29,57306,27511,6705,10007,4,10/1/20,35.23
2020,10,202010,23589,1730,676.65,59.77,688.76,0,304.9,56,34,98091,47191,7213,20665,0,11/1/20,34.080002
2020,11,202011,24158,1715,695.98,61.01,644.66,0,313.38,57,52,100993,42246,10753,19639,0,12/1/20,45.830002
2020,12,202012,25892,2805,973.67,89.83,1173.07,0.96,567.48,316,26,153161,60624,7573,38777,118,1/1/21,43.68
2021,1,202101,23960,1988,690.21,63.98,859.79,0,374.04,162,36,127605,40591,10322,42527,0,2/1/21,40.349998
2021,2,202102,22280,3046,893.52,310.4,1255.59,0,586.5,1093,23,183664,53648,35939,48462,0,3/1/21,55.439999
2021,3,202103,28946,2601,919.01,126.43,1040.52,0,515.08,728,24,132142,50469,8656,35544,0,4/1/21,57.66
2021,4,202104,27787,2712,836.76,117.22,1143.87,1.05,613.11,47,39,169876,51013,14383,50908,49,5/1/21,54.669998
2021,5,202105,30957,3722,1179.86,246.4,1453.56,0,842.22,64,91,248720,78370,31055,57853,0,6/1/21,59.119999
2021,6,202106,35760,8534,2401.57,722.86,3181.34,2.79,2225.49,66,150,563581,143683,66922,153664,112,7/1/21,52.790001
2021,7,202107,43445,12129,3401.42,672.18,4218.61,21.36,3815.43,586,189,846800,228895,72738,199608,1285,8/1/21,46.849998
2021,8,202108,44765,11135,3225.06,603.69,3792.48,0,3513.71,628,159,745540,209243,66251,177999,0,9/1/21,46.75
2021,9,202109,44427,6081,1980.54,233.13,2068.68,0.95,1797.71,633,109,406471,132511,23852,95363,42,10/1/21,48.900002
2021,10,202110,47757,6916,2446.6,202.32,2103.75,0,2163.38,254,84,447799,152886,15949,98412,0,11/1/21,46.18
2021,11,202111,47212,6120,2400.21,55.76,1838.86,1.8,1823.34,239,52,344942,139471,4804,60312,131,12/1/21,43.029999
2021,12,202112,49541,11199,4775.52,135.15,2844.67,4.64,3439.02,1607,120,702855,281946,17065,118918,311,1/1/22,44.669998
2022,1,202201,45741,8776,3920.76,230.34,2203.97,0.44,2420.65,2906,91,596573,257475,25600,99145,8,2/1/22,43.009998
2022,2,202202,43982,7879,3025.96,126.72,2399.38,3.86,2323.18,887,44,476981,172397,17387,106887,165,3/1/22,43.639999
2022,3,202203,50773,10332,3380.65,164.94,3183.31,1,3602.09,218,104,687788,210242,22861,145054,59,4/1/22,46.509998
2022,4,202204,49252,9211,3145.23,227.62,2789.63,4.71,3043.77,485,161,664787,220594,29163,137641,193,5/1/22,50.490002
2022,5,202205,53646,11519,3664.02,289.29,3724.23,0,3841.49,1005,175,830040,262443,41992,179973,0,6/1/22,48.23
2022,6,202206,53105,11299,4003.51,376.37,2967.83,0.41,3950.89,1748,228,877618,301238,50903,159743,10,7/1/22,35.509998
2022,7,202207,55510,11827,4047.8,564.3,3103.41,1,4110.42,825,203,876925,305057,44328,155676,15,8/1/22,36.689999
2022,8,202208,54918,10561,3569.38,484.25,3004.78,8.47,3494.16,1190,234,854549,280909,63708,181771,559,9/1/22,34.669998
