Year,Month,yyyymm,Sum of arr_flights,Sum of arr_del15,Sum of carrier_ct,Sum of weather_ct,Sum of nas_ct,Sum of security_ct,Sum of late_aircraft_ct,Sum of arr_cancelled,Sum of arr_delay,Sum of carrier_delay,Sum of weather_delay,Sum of nas_delay,Sum of security_delay,Sum of late_aircraft_delay,Price Date,Open Stock Price
2019,9,201909,109217,11039,3787.72,145.17,2696.31,24.21,4385.58,1781,541493,187353,16282,112968,921,223969,10/1/19,54.290001
2019,10,201910,116465,17025,5623.52,230.28,3652.02,47.26,7471.96,1414,800948,276582,19598,140239,1703,362826,11/1/19,56.34
2019,11,201911,109266,14807,5292.53,149.86,2912.52,91.34,6360.7,1136,683131,254624,8196,103336,3942,313033,12/1/19,57.599998
2019,12,201912,114442,23993,8682.66,136.7,4184.09,86.09,10903.51,1194,1143380,401750,11873,167596,3742,558419,1/1/20,54.380001
2020,1,202001,109770,10321,4034.56,108.94,2274.11,31.54,3871.87,1921,471771,187937,8654,81267,1007,192906,2/1/20,55.41
2020,2,202002,101581,9613,3281.77,79.91,2374.08,34.63,3842.55,1109,465101,166873,6940,91512,1426,198350,3/1/20,46.540001
2020,3,202003,116689,6714,2202.71,47.01,2416.45,15.85,2032.02,19871,275076,101893,2874,81164,498,88647,4/1/20,34.049999
2020,4,202004,94362,1306,580.74,21.52,504.46,9.19,190.11,48707,45814,23938,930,13355,328,7263,5/1/20,30.5
2020,5,202005,45347,1196,593.73,64.31,264.18,7.55,266.25,2697,47705,24670,3552,7338,285,11860,6/1/20,32.299999
2020,6,202006,63828,3761,1493.23,240.04,861.99,11.44,1154.32,172,170806,67492,13566,30204,393,59151,7/1/20,35.290001
2020,7,202007,82736,3856,1383.7,281.93,1038.04,12.51,1139.87,572,175540,67140,14534,35953,497,57416,8/1/20,30.75
2020,8,202008,84843,3991,1570.19,278.29,960.45,12.81,1169.22,1052,183496,70554,16627,36390,494,59431,9/1/20,36.84
2020,9,202009,63439,2855,1322.07,76.17,641.14,6.71,808.93,443,129377,65791,3388,18737,256,41205,10/1/20,37.959999
2020,10,202010,64101,2832,1102.51,48.94,965.99,30.59,684.04,209,106009,48895,3468,26139,866,26641,11/1/20,39.93
2020,11,202011,70238,2912,1240.64,51.7,749.23,12.79,857.69,454,139066,67250,2992,23249,481,45094,12/1/20,46.549999
2020,12,202012,64342,6585,2720.38,52.33,1685.35,26.63,2100.31,635,252703,104518,3202,56764,952,87267,1/1/21,46.48
2021,1,202101,61307,4883,1923.18,45.16,1474.31,16.62,1423.75,677,211401,80565,2241,59297,510,68788,2/1/21,44.34
2021,2,202102,52733,6114,2427.58,121.52,1898.11,44.15,1622.74,3840,249644,104047,9864,61395,1583,72755,3/1/21,59.549999
2021,3,202103,80574,9280,3661.75,101.08,1793.72,82.03,3641.41,1782,430688,164718,10120,66077,2835,186938,4/1/21,61.27
2021,4,202104,80253,8985,3418.11,182.96,2175.25,50.98,3157.69,491,418862,150857,16073,84774,3362,163796,5/1/21,63.009998
2021,5,202105,87286,15882,6201.4,231.11,2918.62,49.87,6481.02,257,817975,286947,20602,142672,1712,366042,6/1/21,61.939999
2021,6,202106,98532,33405,12851.74,519.51,4789.66,97.58,15146.53,3250,2006946,731863,45970,235160,4370,989583,7/1/21,53.599998
2021,7,202107,103956,31307,11737.84,597.41,4952.49,91.54,13927.79,1725,1702521,597618,50297,224146,3808,826652,8/1/21,50.599998
2021,8,202108,104524,29843,11664.7,590.15,4234.72,75.11,13278.25,3595,1614943,591086,51018,196429,3477,772933,9/1/21,50
2021,9,202109,97438,16821,6729.96,222.98,3177.41,48.64,6641.96,2326,797631,327756,14504,118693,1555,335123,10/1/21,53.77
2021,10,202110,103300,29824,11968.25,190.41,4206.34,90.36,13368.72,3972,1476720,575687,14514,170770,3763,711986,11/1/21,47.34
2021,11,202111,97398,18108,7707.83,66.64,2621.87,90,7621.61,490,787004,335518,4027,86302,3622,357535,12/1/21,44.990002
2021,12,202112,97339,27540,10923.06,155.69,4205.83,90.18,12165.26,1100,1351819,509433,12940,165086,3580,660780,1/1/22,43.169998
2022,1,202201,97436,16735,6991.64,160.05,2771.46,42.23,6769.66,6448,889270,354485,12876,114247,1984,405678,2/1/22,45
2022,2,202202,90965,15852,6740.95,126.39,2692.24,61.92,6230.52,3779,718312,299683,7487,97967,2208,310967,3/1/22,43.400002
2022,3,202203,103720,27707,10381.21,189.88,4689.06,114.29,12332.47,2048,1461158,515769,19692,209823,4656,711218,4/1/22,45.919998
2022,4,202204,102931,28471,10249.25,244.61,4585.08,83.64,13308.38,1941,1474144,496619,22113,201946,2655,750811,5/1/22,46.400002
2022,5,202205,108027,24000,9094.29,295.49,4100.67,91.34,10418.23,809,1089649,389472,22658,165254,3221,509044,6/1/22,46.400002
2022,6,202206,111002,30257,11273.33,357.47,4408.12,83.51,14134.6,1296,1494103,522121,30713,194658,3214,743397,7/1/22,36.09
2022,7,202207,117844,34142,11951.9,583.64,4882.24,125.03,16599.17,1843,1873342,599033,49729,222895,7495,994190,8/1/22,38
2022,8,202208,118889,34935,12564.67,627.34,4723.81,152,16867.05,3157,1951388,619011,57811,233722,10409,1030435,9/1/22,36.32
